iri,name
http://gcmdservices.gsfc.nasa.gov/kms/concepts/concept_scheme/temporalresolutionrange,Temporal Resolution Ranges
https://linked.data.gov.au/def/address-type,Address Type
https://linked.data.gov.au/def/anzsic-2006,Australian and New Zealand Standard Industrial Classification 2006 - Codes and Titles
https://linked.data.gov.au/def/australian-phone-area-codes,Australian Telephone Area Codes
https://linked.data.gov.au/def/australian-states-and-territories,Australian States and Territories
https://linked.data.gov.au/def/borehole-design,Borehole Design
https://linked.data.gov.au/def/borehole-drilling-method,Borehole Drilling Method
https://linked.data.gov.au/def/borehole-purpose,Borehole Purpose
https://linked.data.gov.au/def/borehole-start-point,Borehole Start Point
https://linked.data.gov.au/def/borehole-status,Borehole Status
https://linked.data.gov.au/def/borehole-status-event,Borehole Status Event
https://linked.data.gov.au/def/borehole-sub-purpose,Borehole Sub-Purpose
https://linked.data.gov.au/def/countries,Countries
https://linked.data.gov.au/def/crudstatus,Bulk CRUD Status
https://linked.data.gov.au/def/crudtype,crudtypes
https://linked.data.gov.au/def/data-access-rights,Data Access Rights
https://linked.data.gov.au/def/dataciteroles,DataCite Metadata Schema Roles
https://linked.data.gov.au/def/depth-reference,Depth Reference
https://linked.data.gov.au/def/earth-science-data-category,Earth Science Data Category
https://linked.data.gov.au/def/geo-commodities,Geoscience Commodities
https://linked.data.gov.au/def/geo-product-form,Geoscience Commodity Product Forms
https://linked.data.gov.au/def/geoadminfeatures,GeoAdmin Features
https://linked.data.gov.au/def/geological-observation-instrument,Geological Observation Instrument
https://linked.data.gov.au/def/geological-observation-method,Observation Method
https://linked.data.gov.au/def/geological-observation-type,Observation Type
https://linked.data.gov.au/def/geological-properties,Geological Properties
https://linked.data.gov.au/def/geological-sites,Geological Sites
https://linked.data.gov.au/def/geometry-roles,Geometry Role
https://linked.data.gov.au/def/geoqk,Geoscience Profile of QUDT Quantity Kinds
https://linked.data.gov.au/def/georesource-report,Georesource Report
https://linked.data.gov.au/def/geou,Geoscience Profile of QUDT Units
https://linked.data.gov.au/def/gsq-alias,GSQ Alias
https://linked.data.gov.au/def/gsq-dataset-theme,GSQ Dataset Themes
https://linked.data.gov.au/def/gsq-feature-status,Geologic Feature Status
https://linked.data.gov.au/def/gsq-roles,Geological Survey of Queensland's Agent Roles
https://linked.data.gov.au/def/gsq-sample-facility,Sample Facility
https://linked.data.gov.au/def/iso-4217-currencies,Currencies
https://linked.data.gov.au/def/iso11179-6/RolesAndResponsibilities,ISO/IEC 11179-6 Roles and Responsibilities
https://linked.data.gov.au/def/iso19115-1/RoleCode,ISO19115-1 CI_RoleCode Codelist
https://linked.data.gov.au/def/lithotype,Lithotype
https://linked.data.gov.au/def/minerals,Minerals
https://linked.data.gov.au/def/observation-detail-type,Observation Detail Type
https://linked.data.gov.au/def/organisation-activity-status,Organisation Activity Status
https://linked.data.gov.au/def/organisation-name-types,Organisation Name Types
https://linked.data.gov.au/def/organisation-type,Organisation Type
https://linked.data.gov.au/def/party-identifier-type,Party Identification Type
https://linked.data.gov.au/def/party-relationship,Party Relationship
https://linked.data.gov.au/def/qg-file-types,File type
https://linked.data.gov.au/def/qld-export-terminals,Queensland Export Ports and Terminals
