iri,name
"http://resource.geosciml.org/classifier/ics/ischart","International Chronostratigraphic Chart"
"https://linked.data.gov.au/def/alteration-form","Alteration form"
"https://linked.data.gov.au/def/alteration-intensity","Alteration intensity"
"https://linked.data.gov.au/def/alteration-type","Alteration type"
"https://linked.data.gov.au/def/australian-physiographic-units","Australian physiographic units"
"https://linked.data.gov.au/def/borehole-configuration","Borehole configuration"
"https://linked.data.gov.au/def/borehole-drilling-method-western-australia","Borehole drilling method"
"https://linked.data.gov.au/def/borehole-geometry","Borehole geometry"
"https://linked.data.gov.au/def/borehole-purpose-wa","Borehole purpose"
"https://linked.data.gov.au/def/borehole-start-point-setting","Borehole start point setting"
"https://linked.data.gov.au/def/borehole-status-wa","Borehole status"
"https://linked.data.gov.au/def/crirsco-mineral-resource-reporting","CRIRSCO mineral resource reporting"
"https://linked.data.gov.au/def/dmirs-offices","DEMIRS offices"
"https://linked.data.gov.au/def/earthsci-for","Earth science fields of research"
"https://linked.data.gov.au/def/geological-feature-type","Geological feature type"
"https://linked.data.gov.au/def/gswa-collection-facilities","GSWA collection facilities"
"https://linked.data.gov.au/def/gswa-rock-classification-scheme","GSWA rock classification scheme"
"https://linked.data.gov.au/def/gswa-vocabulary-themes","GSWA vocabulary themes"
"https://linked.data.gov.au/def/jorc-Code","JORC Code"
"https://linked.data.gov.au/def/location-method","Location method"
"https://linked.data.gov.au/def/metamorphic-P-T-trajectory","Metamorphic P–T trajectory"
"https://linked.data.gov.au/def/metamorphic-facies","Metamorphic facies"
"https://linked.data.gov.au/def/metamorphic-stage","Metamorphic stage"
"https://linked.data.gov.au/def/metamorphic-thermal-regime","Metamorphic thermal regime style"
"https://linked.data.gov.au/def/physiographic-unit-types","Physiographic unit types"
"https://linked.data.gov.au/def/reg-statuses","Registry Status Vocabulary"
"https://linked.data.gov.au/def/sample-condition","Sample/specimen condition"
"https://linked.data.gov.au/def/sample-curation-status","Sample/specimen curation status"
"https://linked.data.gov.au/def/sample-nomenclature-publication-status","Sample/specimen nomenclature and publication status"
"https://linked.data.gov.au/def/tectonic-unit-type","Tectonic unit type"
"https://linked.data.gov.au/def/uom-geoscience","Geoscience units of measurement"
"https://linked.data.gov.au/def/vertical-depth-reference-systems","Vertical/depth reference systems"
"https://linked.data.gov.au/def/wa-coordinate-reference-systems","Western Australian coordinate reference systems"
"https://linked.data.gov.au/def/wa-mineral-fields-and-districts","Western Australian mineral fields and districts"
