iri,name
"http://www.opengis.net/def/crs/EPSG/0","NZ Compound Coordinate Reference Systems"
"http://www.opengis.net/def/crs/EPSG/0","NZ Coordinate Reference Systems"
"http://www.opengis.net/def/crs/EPSG/0","NZ Vertical Height Datums"
"http://www.opengis.net/def/crs/EPSG/0","VIC Coordinate Reference Systems"
"http://www.opengis.net/def/crs/EPSG/0","VIC Vertical Height Datums"
"http://www.opengis.net/def/crs/EPSG/0","WA Coordinate Reference Systems"
"http://www.opengis.net/def/crs/EPSG/0","WA Height Datums"
"https://linked.data.gov.au/dataset/asgsed3/STE","States & Territories Feature Collection"
"https://linked.data.gov.au/def/address-classes","Address Classes"
"https://linked.data.gov.au/def/address-status-type","Address Status Type"
"https://linked.data.gov.au/def/building-level-types","Level Types"
"https://linked.data.gov.au/def/countries","Countries"
"https://linked.data.gov.au/def/csdm/icsm-admin-unit-type","ICSM Administrative Unit Types"
"https://linked.data.gov.au/def/csdm/icsm-angle-type","ICSM Angle Types"
"https://linked.data.gov.au/def/csdm/icsm-distance-type","ICSM Distance Type"
"https://linked.data.gov.au/def/csdm/icsm-equipment-type","ICSM Equipment Type"
"https://linked.data.gov.au/def/csdm/icsm-monument-condition","ICSM Monument Condition"
"https://linked.data.gov.au/def/csdm/icsm-monument-state","ICSM Monument State"
"https://linked.data.gov.au/def/csdm/icsm-parcel-state","ICSM Parcel State"
"https://linked.data.gov.au/def/csdm/icsm-procedure-used","ICSM Survey Procedures"
"https://linked.data.gov.au/def/csdm/icsm-surveypoint-purpose","ICSM Survey Point Purpose"
"https://linked.data.gov.au/def/csdm/nz-annotation","NZ CSD Annotation"
"https://linked.data.gov.au/def/csdm/nz-interest-type","NZ Memorial Types"
"https://linked.data.gov.au/def/csdm/nz-land-district","NZ Land Districts"
"https://linked.data.gov.au/def/csdm/nz-monument-condition","NZ Monument Condition"
"https://linked.data.gov.au/def/csdm/nz-monument-form","NZ Monument Form"
"https://linked.data.gov.au/def/csdm/nz-monument-state","NZ Monument State"
"https://linked.data.gov.au/def/csdm/nz-parcel-purpose","NZ Parcel Purpose"
"https://linked.data.gov.au/def/csdm/nz-parcel-state","NZ Parcel State"
