iri,name
"https://linked.data.gov.au/def/maintenancefrequencycode","Maintenance Frequency Codes"
"https://linked.data.gov.au/def/mer-distribution-formats","Distribution Formats"
"https://linked.data.gov.au/def/mer-doc-types","MER Document Types"
"https://linked.data.gov.au/def/mer-for-codes","MER Fields of Research Codes"
"https://linked.data.gov.au/def/mer-scope-codes","Scope Codes"
"https://linked.data.gov.au/def/mer-stakeholder-types","MER Stakeholder Types"
"https://linked.data.gov.au/def/mer-tenament-types","MER Tenement Types"
"https://linked.data.gov.au/def/mer-topic-categories","Topic Categories"
"https://linked.data.gov.au/def/mer-work-statuses","MER Work Status"
"https://linked.data.gov.au/def/sa-commodity-codes","South Australian Commodity Codes"
"https://linked.data.gov.au/def/sa-geological-features","SA Geological Features"
"https://linked.data.gov.au/def/vocdermods","Vocabulary Derivation Modes"
